# File: A326.inc_elas.csv
# Title:  Aluminum demand income elasticity as a function of per-capita gdp
# Units: inc_elas:unitless (% change in service demand / % change in income)
# Column types: cnn
# ----------
region,year,inc_elas
Norway,2100,-0.1
Switzerland,2015,-0.1
Switzerland,2020,-0.1
Switzerland,2025,-0.1
Switzerland,2030,-0.1
Switzerland,2035,-0.1
Switzerland,2040,-0.1
Switzerland,2045,-0.1
Switzerland,2050,-0.1
Switzerland,2055,-0.1
Switzerland,2060,-0.1
Switzerland,2065,-0.1
Switzerland,2070,-0.1
Switzerland,2075,-0.1
Switzerland,2080,-0.1
Switzerland,2085,-0.1
Switzerland,2090,-0.1
Switzerland,2095,-0.1
Switzerland,2100,-0.1
Bosnia and Herzegovina,2015,0.362
Bosnia and Herzegovina,2020,0.318
Bosnia and Herzegovina,2025,0.261
Bosnia and Herzegovina,2030,0.204
Bosnia and Herzegovina,2035,0.167
Bosnia and Herzegovina,2040,0.13
Bosnia and Herzegovina,2045,0.091
Bosnia and Herzegovina,2050,0.05
Bosnia and Herzegovina,2055,0.021
Bosnia and Herzegovina,2060,-0.01
Bosnia and Herzegovina,2065,-0.044
Bosnia and Herzegovina,2070,-0.065
Bosnia and Herzegovina,2075,-0.083
Bosnia and Herzegovina,2080,-0.1
Bosnia and Herzegovina,2085,-0.1
Bosnia and Herzegovina,2090,-0.1
Bosnia and Herzegovina,2095,-0.1
Bosnia and Herzegovina,2100,-0.1
Croatia,2015,0.362
Croatia,2020,0.318
Croatia,2025,0.261
Croatia,2030,0.204
Croatia,2035,0.167
Croatia,2040,0.13
Croatia,2045,0.091
Croatia,2050,0.05
Croatia,2055,0.021
Croatia,2060,-0.01
Croatia,2065,-0.044
Croatia,2070,-0.065
Croatia,2075,-0.083
Croatia,2080,-0.1
Croatia,2085,-0.1
Croatia,2090,-0.1
Croatia,2095,-0.1
Croatia,2100,-0.1
Macedonia,2015,0.362
Macedonia,2020,0.318
Macedonia,2025,0.261
Macedonia,2030,0.204
Macedonia,2035,0.167
Macedonia,2040,0.13
Macedonia,2045,0.091
Macedonia,2050,0.05
Macedonia,2055,0.021
Macedonia,2060,-0.01
Macedonia,2065,-0.044
Macedonia,2070,-0.065
Macedonia,2075,-0.083
Macedonia,2080,-0.1
Macedonia,2085,-0.1
Macedonia,2090,-0.1
Macedonia,2095,-0.1
Macedonia,2100,-0.1
Serbia and Montenegro,2015,0.362
Serbia and Montenegro,2020,0.318
Serbia and Montenegro,2025,0.261
Serbia and Montenegro,2030,0.204
Serbia and Montenegro,2035,0.167
Serbia and Montenegro,2040,0.13
Serbia and Montenegro,2045,0.091
Serbia and Montenegro,2050,0.05
Serbia and Montenegro,2055,0.021
Serbia and Montenegro,2060,-0.01
Serbia and Montenegro,2065,-0.044
Serbia and Montenegro,2070,-0.065
Serbia and Montenegro,2075,-0.083
Serbia and Montenegro,2080,-0.1
Serbia and Montenegro,2085,-0.1
Serbia and Montenegro,2090,-0.1
Serbia and Montenegro,2095,-0.1
Serbia and Montenegro,2100,-0.1
Turkey,2015,0.362
Turkey,2020,0.318
Turkey,2025,0.261
Turkey,2030,0.204
Turkey,2035,0.167
Turkey,2040,0.13
Turkey,2045,0.091
Turkey,2050,0.05
Turkey,2055,0.021
Turkey,2060,-0.01
Turkey,2065,-0.044
Turkey,2070,-0.065
Turkey,2075,-0.083
Turkey,2080,-0.1
Turkey,2085,-0.1
Turkey,2090,-0.1
Turkey,2095,-0.1
Turkey,2100,-0.1
